dataset_name,method,retention,search_minutes_mean,search_minutes_std
CIFAR-10,GA,10,98.79301272056998,6.50532588592838
CIFAR-10,GA,25,173.5967388637364,7.448109593856532
CIFAR-10,GA,50,288.3780330298096,9.021477304901175
CIFAR-10,GA,75,371.24759482945007,23.56225856923056
CIFAR-10,GA,90,409.3429088490456,4.9021797449527575
CIFAR-10,RS,10,101.61208326111236,7.835690873197479
CIFAR-10,RS,25,159.62975822692115,8.778861528126573
CIFAR-10,RS,50,303.2837516095241,9.763199722165846
CIFAR-10,RS,75,396.29655054445067,24.072194678000002
CIFAR-10,RS,90,448.17190033324067,17.91440872227485
Tiny ImageNet,GA,10,196.28946497013172,9.235989518596368
Tiny ImageNet,GA,25,319.1123210905492,8.950980605022915
Tiny ImageNet,GA,50,517.3596101126075,12.9499203673304
Tiny ImageNet,GA,75,721.0887897730619,9.424376173275782
Tiny ImageNet,GA,90,834.9631720757982,39.8867115609764
Tiny ImageNet,RS,10,194.4003540443381,7.662046937119472
Tiny ImageNet,RS,25,313.9248511301726,8.819097087338323
Tiny ImageNet,RS,50,530.5492128467063,22.640672874110237
Tiny ImageNet,RS,75,727.9318714063863,34.592895154150334
Tiny ImageNet,RS,90,843.6310437174142,37.4846958006015
