dataset_name,retention,method,accuracy_difference_mean_pp,accuracy_difference_std_pp,final_time_mean_seconds,time_reduction_mean_percent,time_reduction_std_percent
CIFAR-10,10,GA,-3.4740000000000038,0.27327641683833465,5.77904299646616,78.25766504437577,0.5556677713928683
CIFAR-10,10,KCG,-4.072,0.6411474089474266,6.82725130468607,74.33007684834753,0.4250899591548302
CIFAR-10,10,RS,-3.988000000000002,0.8687174454332074,5.8612515211105345,77.94975676283026,0.5162382226601125
CIFAR-10,10,SSRS,-4.2360000000000015,0.6020215942970852,5.990724486112595,77.49571868096734,1.6437405399415854
CIFAR-10,25,GA,-1.7779999999999994,0.5574226403726371,9.276503486931324,65.1032833911859,0.7036580642023575
CIFAR-10,25,KCG,-2.590000000000001,0.4803644449790195,10.696952359378338,59.757249447156916,0.8501050740078693
CIFAR-10,25,RS,-2.0320000000000027,0.804530919231821,9.80197602212429,63.102966393231284,4.413165819355947
CIFAR-10,25,SSRS,-1.9500000000000006,0.3167806812291418,9.551980702579021,64.09787397206522,1.367468415779112
CIFAR-10,50,GA,-0.9819999999999984,0.5661890143759416,14.938329960405827,43.78429736429611,2.361642518779188
CIFAR-10,50,KCG,-1.3460000000000005,0.7138137011853997,17.414405123889445,34.48783399862217,1.2750927295219305
CIFAR-10,50,RS,-0.7400000000000051,0.7317103251970687,15.031157587468623,43.45543433456119,1.7545030550318497
CIFAR-10,50,SSRS,-1.5620000000000012,0.5076613044146694,15.601960358023643,41.31991499273944,0.4760933726051901
CIFAR-10,75,GA,-0.7959999999999989,0.7247620299105094,22.153132490813732,16.608188417290993,8.826277635997144
CIFAR-10,75,KCG,-0.636000000000001,0.47188981764814925,24.073038163781167,9.441289845721101,1.5584502166658247
CIFAR-10,75,RS,-1.030000000000002,0.9813256340277712,22.083861073851587,16.903301042662907,6.897058629080652
CIFAR-10,75,SSRS,-0.5320000000000036,0.8283839689419402,21.64243416786194,18.61872465922401,1.3827174222098058
CIFAR-10,90,GA,-0.08200000000000207,0.5294053267582435,24.45689477175474,8.019797245936562,2.638924703834233
CIFAR-10,90,KCG,-0.3780000000000028,0.46191990647730774,28.142200852930547,-5.86633898521741,1.8424367302469948
CIFAR-10,90,RS,-0.264000000000002,0.6136204038328582,25.526869949698447,4.069704810933232,5.586696956657798
CIFAR-10,90,SSRS,-0.5200000000000027,0.49421655172606516,24.804347226023673,6.733389724615238,1.6088624763238997
Tiny ImageNet,10,GA,-4.655999999999999,0.45965204231026896,11.584775298833847,77.82859077339144,2.421180306318784
Tiny ImageNet,10,KCG,-6.058,0.5220823689802221,12.709167201817035,75.67084862070358,1.8735822612526725
Tiny ImageNet,10,RS,-4.6339999999999995,0.5522952109153216,11.557809822261333,77.90984413868924,2.4576801110903603
Tiny ImageNet,10,SSRS,-4.481999999999999,0.38771123274932423,11.30021461993456,78.38528282272378,0.6291101920239577
Tiny ImageNet,25,GA,-4.206,0.5982307247208232,19.18245769739151,63.31111747856412,3.6258831385758605
Tiny ImageNet,25,KCG,-0.2300000000000002,0.5545268253204702,20.427344697713853,60.88841867449796,3.8824721740359402
Tiny ImageNet,25,RS,-5.218000000000001,0.8491878472988172,18.267534832656384,65.04794193349758,0.5302651199028617
Tiny ImageNet,25,SSRS,-4.994,0.6525948206965793,18.394496446847917,64.82070493768796,1.149950067489678
Tiny ImageNet,50,GA,-2.5519999999999996,0.8828193473185774,30.83382334113121,41.007480867020796,0.6879808038247782
Tiny ImageNet,50,KCG,-3.2359999999999984,0.7828026571237459,33.39448241442442,36.059045874852494,6.286946665791466
Tiny ImageNet,50,RS,-2.2779999999999987,0.6293409250954536,30.87608083933592,40.92631337227683,0.6374743047002611
Tiny ImageNet,50,SSRS,-2.4519999999999995,0.6946725847476625,29.289087547361852,43.978948874203844,1.1902956858214973
Tiny ImageNet,75,GA,-1.1020000000000008,0.5757343137246551,45.170149432122706,13.522983475685185,9.024701132943264
Tiny ImageNet,75,KCG,-1.2680000000000002,1.0101089050196517,46.487585227191445,10.988917669080038,8.691626393582577
Tiny ImageNet,75,RS,-1.439999999999999,0.5471288696459005,43.14366662949324,17.438475986730264,3.3944169909921547
Tiny ImageNet,75,SSRS,-1.2819999999999998,0.5594372172102978,41.59057824015618,20.43964578015219,0.6366906217060114
Tiny ImageNet,90,GA,-0.8860000000000001,0.7190479817091472,47.73207852691412,8.641761674810699,5.244739278755243
Tiny ImageNet,90,KCG,-0.8159999999999978,0.14432601983010485,54.44760651439428,-4.24957533630474,9.897750919817566
Tiny ImageNet,90,RS,-0.5859999999999999,0.46398275830034874,51.52830170094967,1.391480930998166,7.400258654073977
Tiny ImageNet,90,SSRS,-0.6079999999999997,0.7999812497802684,48.61196622401476,7.007651658945481,0.9086257889710705
