dataset,method_a,method_b,seed_level_mean_difference_pp,block_mean_difference_pp,method_a_block_wins,ties,method_b_block_wins,wilcoxon_statistic,raw_p_value,holm_p_value
CIFAR-10,GA,RS,0.1884000000000019,0.18840000000000234,16,0,9,4.0,0.4375,1.0
CIFAR-10,GA,SRS,0.3376000000000001,0.3376000000000014,19,0,6,0.0,0.0625,0.375
CIFAR-10,GA,KCG,0.3820000000000001,0.3820000000000006,20,0,5,0.0,0.0625,0.375
CIFAR-10,RS,SRS,0.14919999999999822,0.1491999999999991,14,0,11,6.0,0.8125,1.0
CIFAR-10,RS,KCG,0.19359999999999822,0.19359999999999825,14,0,11,3.0,0.3125,1.0
CIFAR-10,SRS,KCG,0.044399999999999995,0.04439999999999911,12,0,13,4.0,0.4375,1.0
Tiny ImageNet,GA,RS,0.1507999999999987,0.15079999999999938,12,0,13,4.0,0.4375,1.0
Tiny ImageNet,GA,SRS,0.08319999999999994,0.08319999999999951,12,0,13,5.0,0.625,1.0
Tiny ImageNet,GA,KCG,-0.35880000000000134,-0.35880000000000073,13,0,12,0.0,0.0625,0.375
Tiny ImageNet,RS,SRS,-0.06759999999999877,-0.06759999999999987,14,0,11,6.0,0.8125,1.0
Tiny ImageNet,RS,KCG,-0.5096,-0.5096,13,0,12,0.0,0.0625,0.375
Tiny ImageNet,SRS,KCG,-0.4420000000000012,-0.44200000000000017,15,0,10,0.0,0.0625,0.375
