dataset_name,retention,method,seeds,Accuracy,Precision,Recall,F1
CIFAR-10,10,GA,5,77.48 ± 0.32,77.71 ± 0.40,77.48 ± 0.32,77.46 ± 0.35
CIFAR-10,10,KCG,5,76.88 ± 0.45,77.04 ± 0.28,76.88 ± 0.45,76.82 ± 0.46
CIFAR-10,10,RS,5,76.97 ± 0.58,77.63 ± 0.37,76.97 ± 0.58,77.07 ± 0.52
CIFAR-10,10,SRS,5,76.72 ± 0.22,77.04 ± 0.36,76.72 ± 0.22,76.65 ± 0.28
CIFAR-10,25,GA,5,79.18 ± 0.25,79.47 ± 0.31,79.18 ± 0.25,79.16 ± 0.22
CIFAR-10,25,KCG,5,78.36 ± 0.13,78.74 ± 0.20,78.36 ± 0.13,78.33 ± 0.18
CIFAR-10,25,RS,5,78.92 ± 0.48,79.24 ± 0.42,78.92 ± 0.48,78.86 ± 0.46
CIFAR-10,25,SRS,5,79.00 ± 0.31,79.39 ± 0.30,79.00 ± 0.31,78.95 ± 0.28
CIFAR-10,50,GA,5,79.97 ± 0.45,80.18 ± 0.51,79.97 ± 0.45,79.86 ± 0.51
CIFAR-10,50,KCG,5,79.61 ± 0.59,80.11 ± 0.42,79.61 ± 0.59,79.56 ± 0.64
CIFAR-10,50,RS,5,80.21 ± 0.40,80.57 ± 0.60,80.21 ± 0.40,80.18 ± 0.47
CIFAR-10,50,SRS,5,79.39 ± 0.46,79.80 ± 0.18,79.39 ± 0.46,79.35 ± 0.41
CIFAR-10,75,GA,5,80.16 ± 0.36,80.59 ± 0.48,80.16 ± 0.36,80.14 ± 0.39
CIFAR-10,75,KCG,5,80.32 ± 0.56,80.75 ± 0.60,80.32 ± 0.56,80.29 ± 0.67
CIFAR-10,75,RS,5,79.92 ± 0.62,80.43 ± 0.69,79.92 ± 0.62,79.94 ± 0.58
CIFAR-10,75,SRS,5,80.42 ± 0.52,80.94 ± 0.29,80.42 ± 0.52,80.46 ± 0.40
CIFAR-10,90,GA,5,80.87 ± 0.64,81.30 ± 0.64,80.87 ± 0.64,80.89 ± 0.58
CIFAR-10,90,KCG,5,80.58 ± 0.32,80.96 ± 0.47,80.58 ± 0.32,80.54 ± 0.41
CIFAR-10,90,RS,5,80.69 ± 0.61,81.06 ± 0.58,80.69 ± 0.61,80.69 ± 0.60
CIFAR-10,90,SRS,5,80.43 ± 0.63,80.82 ± 0.55,80.43 ± 0.63,80.30 ± 0.76
CIFAR-10,100,Full,5,80.95 ± 0.42,81.36 ± 0.43,80.95 ± 0.42,80.90 ± 0.44
Tiny ImageNet,10,GA,5,41.30 ± 0.37,42.31 ± 0.52,41.30 ± 0.37,40.97 ± 0.45
Tiny ImageNet,10,KCG,5,39.89 ± 0.36,42.15 ± 0.26,39.89 ± 0.36,39.11 ± 0.18
Tiny ImageNet,10,RS,5,41.32 ± 0.50,42.21 ± 0.60,41.32 ± 0.50,40.90 ± 0.59
Tiny ImageNet,10,SRS,5,41.47 ± 0.11,42.07 ± 0.31,41.47 ± 0.11,41.13 ± 0.18
Tiny ImageNet,25,GA,5,41.75 ± 0.52,47.44 ± 0.47,41.75 ± 0.52,41.27 ± 0.67
Tiny ImageNet,25,KCG,5,45.72 ± 0.62,47.06 ± 0.31,45.72 ± 0.62,45.51 ± 0.64
Tiny ImageNet,25,RS,5,40.73 ± 0.90,47.51 ± 0.40,40.73 ± 0.90,40.29 ± 0.88
Tiny ImageNet,25,SRS,5,40.96 ± 0.37,46.78 ± 0.62,40.96 ± 0.37,40.47 ± 0.66
Tiny ImageNet,50,GA,5,43.40 ± 0.63,49.63 ± 0.49,43.40 ± 0.63,43.14 ± 0.68
Tiny ImageNet,50,KCG,5,42.72 ± 0.66,49.61 ± 0.45,42.72 ± 0.66,42.46 ± 0.61
Tiny ImageNet,50,RS,5,43.67 ± 0.56,49.33 ± 0.73,43.67 ± 0.56,43.28 ± 0.72
Tiny ImageNet,50,SRS,5,43.50 ± 0.56,49.44 ± 0.47,43.50 ± 0.56,43.40 ± 0.80
Tiny ImageNet,75,GA,5,44.85 ± 0.26,50.73 ± 0.62,44.85 ± 0.26,44.65 ± 0.39
Tiny ImageNet,75,KCG,5,44.68 ± 0.78,50.86 ± 0.47,44.68 ± 0.78,44.39 ± 0.94
Tiny ImageNet,75,RS,5,44.51 ± 0.52,50.50 ± 0.71,44.51 ± 0.52,44.34 ± 0.32
Tiny ImageNet,75,SRS,5,44.67 ± 0.66,51.03 ± 0.32,44.67 ± 0.66,44.57 ± 0.69
Tiny ImageNet,90,GA,5,45.07 ± 0.32,51.22 ± 0.89,45.07 ± 0.32,44.85 ± 0.45
Tiny ImageNet,90,KCG,5,45.14 ± 0.34,51.54 ± 0.72,45.14 ± 0.34,44.97 ± 0.43
Tiny ImageNet,90,RS,5,45.37 ± 0.29,51.00 ± 0.28,45.37 ± 0.29,45.12 ± 0.23
Tiny ImageNet,90,SRS,5,45.34 ± 0.42,50.87 ± 0.31,45.34 ± 0.42,45.06 ± 0.49
Tiny ImageNet,100,Full,5,45.95 ± 0.43,51.12 ± 0.70,45.95 ± 0.43,45.69 ± 0.64
