method,mean_accuracy,std_accuracy,mean_time_seconds,runs,mean_rank,seed_wins,mean_accuracy_pct,std_accuracy_pp,mean_time_minutes
AlexNet + GA,0.9697566666666667,0.007755893816246386,2266.097646024972,25,1.6,3,96.97566666666667,0.7755893816246386,37.768294100416206
AlexNet + RS,0.9694366666666667,0.008326534726737,2260.9199894957246,25,2.7,0,96.94366666666667,0.8326534726737,37.681999824928745
AlexNet + MA,0.9694366666666667,0.008003445438615113,2176.353187526092,25,3.1,0,96.94366666666667,0.8003445438615112,36.27255312543487
ResNeXt + GA,0.9691766666666666,0.00836775253024409,2079.058092644736,25,3.4,2,96.91766666666666,0.836775253024409,34.6509682107456
AlexNet + LNS,0.9689066666666668,0.008744023090935636,2255.586793493107,25,4.8,0,96.89066666666668,0.8744023090935635,37.593113224885116
ResNeXt + MA,0.9688199999999999,0.008989502622915646,2152.9675330727546,25,5.6,0,96.88199999999999,0.8989502622915646,35.88279221787924
ResNeXt + RS,0.9684266666666668,0.009252793622188596,2178.1533919056506,25,6.8,0,96.84266666666667,0.9252793622188596,36.30255653176084
ResNeXt + LNS,0.9676833333333333,0.009912522476738824,2145.769906311408,25,8.0,0,96.76833333333333,0.9912522476738824,35.762831771856796
Swin-T + MA,0.9660166666666666,0.008875097808537742,1560.3750382640958,25,10.3,0,96.60166666666666,0.8875097808537742,26.00625063773493
Swin-T + GA,0.96598,0.008784827513642157,1592.4424878514558,25,10.3,0,96.598,0.8784827513642157,26.540708130857595
EfficientNetV2-S + GA,0.96596,0.010995083076168727,2125.0473630805313,25,10.4,0,96.596,1.0995083076168726,35.41745605134219
EfficientNetV2-S + MA,0.9656666666666667,0.011168817164402448,2136.432942707464,25,12.2,0,96.56666666666666,1.1168817164402447,35.60721571179106
Swin-T + RS,0.9656233333333333,0.009133624792592025,1658.3798726441712,25,12.4,0,96.56233333333333,0.9133624792592024,27.63966454406952
EfficientNetV2-S + RS,0.96548,0.011386702364633093,2137.3796295369416,25,13.8,0,96.548,1.1386702364633092,35.622993825615694
Swin-T + LNS,0.9650666666666666,0.009444740599931768,1565.382505947873,25,14.8,0,96.50666666666666,0.9444740599931768,26.089708432464548
EfficientNetV2-S + LNS,0.9648533333333333,0.01192592103749613,2127.3165659449996,25,15.8,0,96.48533333333333,1.192592103749613,35.45527609908333
