selected_method,competitor,mean_difference_pp,wilcoxon_statistic,raw_p_value,holm_p_value
AlexNet + GA,AlexNet + LNS,0.0849999999999973,0.0,0.0625,0.9375
AlexNet + GA,AlexNet + MA,0.03200000000000314,1.0,0.125,0.9375
AlexNet + GA,AlexNet + RS,0.03200000000000092,0.0,0.0625,0.9375
AlexNet + GA,EfficientNetV2-S + GA,0.3796666666666648,0.0,0.0625,0.9375
AlexNet + GA,EfficientNetV2-S + LNS,0.49033333333333706,0.0,0.0625,0.9375
AlexNet + GA,EfficientNetV2-S + MA,0.4090000000000038,0.0,0.0625,0.9375
AlexNet + GA,EfficientNetV2-S + RS,0.42766666666667064,0.0,0.0625,0.9375
AlexNet + GA,ResNeXt + GA,0.058000000000002494,3.0,0.3125,0.9375
AlexNet + GA,ResNeXt + LNS,0.20733333333333492,0.0,0.0625,0.9375
AlexNet + GA,ResNeXt + MA,0.0936666666666719,0.0,0.0625,0.9375
AlexNet + GA,ResNeXt + RS,0.13299999999999867,0.0,0.0625,0.9375
AlexNet + GA,Swin-T + GA,0.3776666666666695,0.0,0.0625,0.9375
AlexNet + GA,Swin-T + LNS,0.46900000000000386,0.0,0.0625,0.9375
AlexNet + GA,Swin-T + MA,0.37400000000000766,0.0,0.0625,0.9375
AlexNet + GA,Swin-T + RS,0.41333333333333666,0.0,0.0625,0.9375
