dataset,method,retention,B100_validation,B1000_validation,validation_gain_pp,B100_test,B1000_test,test_gain_pp
CIFAR-10,GA,10,0.78474,0.7865599999999999,0.18199999999999328,0.7761,0.7747999999999999,-0.1300000000000079
CIFAR-10,GA,25,0.8044800000000001,0.80562,0.11399999999999189,0.7893600000000001,0.79176,0.23999999999999577
CIFAR-10,GA,50,0.8154600000000001,0.81644,0.09799999999999809,0.79818,0.79972,0.15399999999999858
CIFAR-10,GA,75,0.8195600000000001,0.82324,0.36799999999999056,0.80296,0.8015800000000001,-0.13799999999999368
CIFAR-10,GA,90,0.82226,0.8243600000000001,0.21000000000001018,0.8052199999999999,0.8087199999999999,0.34999999999999476
CIFAR-10,RS,10,0.7818799999999999,0.78426,0.23800000000000487,0.7729600000000001,0.76966,-0.33000000000000806
CIFAR-10,RS,25,0.80224,0.8041599999999999,0.19199999999999218,0.78528,0.78922,0.39400000000000546
CIFAR-10,RS,50,0.8124,0.81662,0.42200000000000015,0.8003,0.80214,0.18399999999999528
CIFAR-10,RS,75,0.81928,0.8210000000000001,0.17200000000000548,0.8050599999999999,0.79924,-0.5819999999999936
CIFAR-10,RS,90,0.8222200000000001,0.82318,0.09599999999999609,0.80792,0.8069,-0.10200000000000209
Tiny ImageNet,GA,10,0.42316000000000004,0.42622,0.30599999999999516,0.41231999999999996,0.41296,0.06400000000000294
Tiny ImageNet,GA,25,0.43219,0.43662,0.44299999999999895,0.41323999999999994,0.41746,0.4220000000000057
Tiny ImageNet,GA,50,0.44589,0.45122,0.5330000000000001,0.43192,0.434,0.20799999999999708
Tiny ImageNet,GA,75,0.4606,0.46474000000000004,0.41400000000000325,0.4467,0.44849999999999995,0.17999999999999683
Tiny ImageNet,GA,90,0.46631999999999996,0.46894,0.26200000000000667,0.44976000000000005,0.45065999999999995,0.08999999999999009
Tiny ImageNet,RS,10,0.42038000000000003,0.42301,0.26299999999999657,0.41281999999999996,0.41318,0.036000000000002697
Tiny ImageNet,RS,25,0.42652,0.44675000000000004,2.0230000000000024,0.41434,0.4073399999999999,-0.7000000000000062
Tiny ImageNet,RS,50,0.44534,0.44825,0.2909999999999968,0.43533999999999995,0.43674,0.14000000000000679
Tiny ImageNet,RS,75,0.45926,0.46207000000000004,0.28100000000000347,0.44812,0.44512,-0.30000000000000027
Tiny ImageNet,RS,90,0.46399,0.46791,0.3919999999999979,0.45299999999999996,0.45366,0.06600000000000494
