dataset_name,retention,selection_seconds_mean,selection_seconds_std
CIFAR-10,10,0.0192017257213592,0.002315042262465954
CIFAR-10,25,0.026281008124351458,0.007944270602642103
CIFAR-10,50,0.028110978007316538,0.00418043446498946
CIFAR-10,75,0.032342031598091084,0.0057372140150091615
CIFAR-10,90,0.03382653892040246,0.0034002268883996985
Tiny ImageNet,10,0.037537318468093814,0.005257601433078764
Tiny ImageNet,25,0.04273896664381022,0.006804391538967859
Tiny ImageNet,50,0.052981336414813965,0.009687695818885572
Tiny ImageNet,75,0.05087452679872508,0.004227912720038433
Tiny ImageNet,90,0.057576014101505216,0.0076913137044281555
