Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Improved Best,Initial Percentage,Model,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
RS,0.7936,1,1,random,CIFAR10,1,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.7936,True,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,1,42,accuracy,101024,0.7936,4,0.6175401846885681,8.695514779537916,10,0.6175401846885681,valid,0.7925974560716964,0.7986967725905509,0.7936,101024
RS,0.7936,1,1,random,CIFAR10,2,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.7876,False,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,2,42,accuracy,101024,0.7876,4,0.6429729068279266,8.651312727481127,10,0.6429729068279266,valid,0.7889872769484312,0.7978373647761592,0.7876000000000001,101024
RS,0.7936,1,1,random,CIFAR10,3,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.7905,False,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,3,42,accuracy,101024,0.7905,3,0.6113181375026703,8.613972249440849,10,0.6113181375026703,valid,0.7905328600873532,0.7930192548432956,0.7905,101024
RS,0.7936,1,1,random,CIFAR10,4,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.7852,False,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,4,42,accuracy,101024,0.7852,2,0.6220415831565856,8.63439065311104,10,0.6220415831565856,valid,0.7846033113766591,0.7916280692461866,0.7851999999999999,101024
RS,0.7942,5,5,random,CIFAR10,5,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.7942,True,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,5,42,accuracy,101024,0.7942,4,0.6123772716045379,8.620482386089861,10,0.6123772716045379,valid,0.7929193239973074,0.793166743655856,0.7941999999999999,101024
RS,0.7942,5,5,random,CIFAR10,6,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.7896,False,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,6,42,accuracy,101024,0.7896,2,0.5990070546627044,8.639584100805223,10,0.5990070546627044,valid,0.7895396700765812,0.7941777747886861,0.7896,101024
RS,0.7942,5,5,random,CIFAR10,7,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.783,False,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,7,42,accuracy,101024,0.783,2,0.6159642855167389,8.646951492875814,10,0.6159642855167389,valid,0.7830323049139186,0.7865228651345755,0.783,101024
RS,0.7977,8,8,random,CIFAR10,8,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.7977,True,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,8,42,accuracy,101024,0.7977,3,0.6059184371948242,8.677072875201702,10,0.6059184371948242,valid,0.7973572066750475,0.7988190068833873,0.7977000000000001,101024
RS,0.7977,8,8,random,CIFAR10,9,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.7862,False,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,9,42,accuracy,101024,0.7862,2,0.6146014012336731,8.611096209846437,10,0.6146014012336731,valid,0.7866490434292708,0.7886897031897873,0.7862,101024
RS,0.7977,8,8,random,CIFAR10,10,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.7901,False,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,10,42,accuracy,101024,0.7901,3,0.6179677590847016,8.636840850114822,10,0.6179677590847016,valid,0.7892431689812741,0.7915564283463455,0.7901,101024
RS,0.7977,8,8,random,CIFAR10,11,prelim_features_cifar10_alexnet_RS_kp25,0.25,0.7958,False,0.25,alexnet,0.25,CIFAR10_alexnet_RS_accuracy_kp2500_seed1024,1024,10000,11,42,accuracy,101024,0.7958,3,0.6010131295680999,8.607418954372406,10,0.6010131295680999,valid,0.7963381105588804,0.7980738778257306,0.7958000000000001,101024
