Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Crossover Hamming Parent 1,Crossover Hamming Parent 2,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Generation,Improved Best,Initial Percentage,Model,Mutation Applied,Mutation Hamming Distance,Mutation Swaps,Offspring Number,Parent 1 Fitness,Parent 1 ID,Parent 1 Index,Parent 2 Fitness,Parent 2 ID,Parent 2 Index,Parent Hamming Distance,Population Slot,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
GEN,0.44,1,1,initial,,,TINYIMAGENET,1,prelim_features_tinyimagenet_alexnet_GEN_kp50,0.5,0.44,0,True,0.5,alexnet,False,0,0,,,,,,,,,1,0.5,TINYIMAGENET_alexnet_GEN_accuracy_kp5000_seed42,42,40000,1,42,accuracy,100042,0.44,1,2.8770118475914,29.5299686845392,10,2.8770118475914,valid,0.4377812418770526,0.49579730540136296,0.44,100042
GEN,0.44,1,1,initial,,,TINYIMAGENET,2,prelim_features_tinyimagenet_alexnet_GEN_kp50,0.5,0.43995,0,False,0.5,alexnet,False,0,0,,,,,,,,,2,0.5,TINYIMAGENET_alexnet_GEN_accuracy_kp5000_seed42,42,40000,2,42,accuracy,100042,0.43995,1,2.823120727920532,28.68484005238861,10,2.823120727920532,valid,0.4379323758416514,0.488287870600594,0.43995000000000006,100042
GEN,0.44,1,1,initial,,,TINYIMAGENET,3,prelim_features_tinyimagenet_alexnet_GEN_kp50,0.5,0.4345,0,False,0.5,alexnet,False,0,0,,,,,,,,,3,0.5,TINYIMAGENET_alexnet_GEN_accuracy_kp5000_seed42,42,40000,3,42,accuracy,100042,0.4345,1,2.867889402151108,28.423292560502887,10,2.867889402151108,valid,0.43167817755076726,0.4853112202702428,0.43450000000000005,100042
GEN,0.44,1,1,initial,,,TINYIMAGENET,4,prelim_features_tinyimagenet_alexnet_GEN_kp50,0.5,0.43985,0,False,0.5,alexnet,False,0,0,,,,,,,,,4,0.5,TINYIMAGENET_alexnet_GEN_accuracy_kp5000_seed42,42,40000,4,42,accuracy,100042,0.43985,1,2.847242794036865,28.45013276208192,10,2.847242794036865,valid,0.43904791934691434,0.4965331705226518,0.43985,100042
GEN,0.44225,5,5,initial,,,TINYIMAGENET,5,prelim_features_tinyimagenet_alexnet_GEN_kp50,0.5,0.44225,0,True,0.5,alexnet,False,0,0,,,,,,,,,5,0.5,TINYIMAGENET_alexnet_GEN_accuracy_kp5000_seed42,42,40000,5,42,accuracy,100042,0.44225,1,2.822075945520401,28.30433862656355,10,2.822075945520401,valid,0.44020641994477844,0.49838227473959273,0.4422499999999999,100042
GEN,0.44225,5,5,initial,,,TINYIMAGENET,6,prelim_features_tinyimagenet_alexnet_GEN_kp50,0.5,0.4379,0,False,0.5,alexnet,False,0,0,,,,,,,,,6,0.5,TINYIMAGENET_alexnet_GEN_accuracy_kp5000_seed42,42,40000,6,42,accuracy,100042,0.4379,1,2.8693920140743256,28.458440215326846,10,2.8693920140743256,valid,0.43439488797515335,0.49335980159201137,0.43790000000000007,100042
GEN,0.44225,5,5,initial,,,TINYIMAGENET,7,prelim_features_tinyimagenet_alexnet_GEN_kp50,0.5,0.4367,0,False,0.5,alexnet,False,0,0,,,,,,,,,7,0.5,TINYIMAGENET_alexnet_GEN_accuracy_kp5000_seed42,42,40000,7,42,accuracy,100042,0.4367,1,2.8506939408302308,28.303537294268608,10,2.8506939408302308,valid,0.4374163203525018,0.4948828037388094,0.43670000000000003,100042
GEN,0.44225,5,5,initial,,,TINYIMAGENET,8,prelim_features_tinyimagenet_alexnet_GEN_kp50,0.5,0.43725,0,False,0.5,alexnet,False,0,0,,,,,,,,,8,0.5,TINYIMAGENET_alexnet_GEN_accuracy_kp5000_seed42,42,40000,8,42,accuracy,100042,0.43725,1,2.859153160619736,28.455174979753792,10,2.859153160619736,valid,0.4304682377274365,0.4884624933493641,0.43725,100042
GEN,0.44225,5,5,initial,,,TINYIMAGENET,9,prelim_features_tinyimagenet_alexnet_GEN_kp50,0.5,0.44105,0,False,0.5,alexnet,False,0,0,,,,,,,,,9,0.5,TINYIMAGENET_alexnet_GEN_accuracy_kp5000_seed42,42,40000,9,42,accuracy,100042,0.44105,1,2.8265831271648407,28.319344903342426,10,2.8265831271648407,valid,0.43769736257692243,0.4891545310126722,0.44105000000000005,100042
GEN,0.44225,5,5,initial,,,TINYIMAGENET,10,prelim_features_tinyimagenet_alexnet_GEN_kp50,0.5,0.43815,0,False,0.5,alexnet,False,0,0,,,,,,,,,10,0.5,TINYIMAGENET_alexnet_GEN_accuracy_kp5000_seed42,42,40000,10,42,accuracy,100042,0.43815,1,2.851830319929123,28.372427839785814,10,2.851830319929123,valid,0.43539957392975176,0.4951097942720034,0.43815,100042
