Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Improved Best,Initial Percentage,Model,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
RS,0.41725,1,1,random,TINYIMAGENET,1,prelim_features_tinyimagenet_alexnet_RS_kp10,0.1,0.41725,True,0.1,alexnet,0.1,TINYIMAGENET_alexnet_RS_accuracy_kp1000_seed1024,1024,8000,1,42,accuracy,101024,0.41725,5,3.018907617521286,10.885330114513636,10,3.018907617521286,valid,0.41263224841209434,0.42231232108253897,0.41725,101024
RS,0.41725,1,1,random,TINYIMAGENET,2,prelim_features_tinyimagenet_alexnet_RS_kp10,0.1,0.40975,False,0.1,alexnet,0.1,TINYIMAGENET_alexnet_RS_accuracy_kp1000_seed1024,1024,8000,2,42,accuracy,101024,0.40975,4,2.9835803637504577,10.83612695056945,10,2.9835803637504577,valid,0.40685164611752156,0.4190586947464827,0.40975,101024
RS,0.41725,1,1,random,TINYIMAGENET,3,prelim_features_tinyimagenet_alexnet_RS_kp10,0.1,0.4096,False,0.1,alexnet,0.1,TINYIMAGENET_alexnet_RS_accuracy_kp1000_seed1024,1024,8000,3,42,accuracy,101024,0.4096,4,2.95123727350235,10.838467814959586,10,2.95123727350235,valid,0.4066635534000093,0.41786055700672664,0.4096,101024
RS,0.41725,1,1,random,TINYIMAGENET,4,prelim_features_tinyimagenet_alexnet_RS_kp10,0.1,0.4089,False,0.1,alexnet,0.1,TINYIMAGENET_alexnet_RS_accuracy_kp1000_seed1024,1024,8000,4,42,accuracy,101024,0.4089,4,2.984361102771759,10.842711650766432,10,2.984361102771759,valid,0.40567273580820395,0.4192014925939725,0.4089,101024
RS,0.41725,1,1,random,TINYIMAGENET,5,prelim_features_tinyimagenet_alexnet_RS_kp10,0.1,0.4128,False,0.1,alexnet,0.1,TINYIMAGENET_alexnet_RS_accuracy_kp1000_seed1024,1024,8000,5,42,accuracy,101024,0.4128,4,2.957777791118622,10.879853416234255,10,2.957777791118622,valid,0.411086404056768,0.4257452746606995,0.4128,101024
RS,0.41725,1,1,random,TINYIMAGENET,6,prelim_features_tinyimagenet_alexnet_RS_kp10,0.1,0.4114,False,0.1,alexnet,0.1,TINYIMAGENET_alexnet_RS_accuracy_kp1000_seed1024,1024,8000,6,42,accuracy,101024,0.4114,4,2.981877238225937,10.909229531884193,10,2.981877238225937,valid,0.4062062818795116,0.41666797943420003,0.4114,101024
RS,0.41725,1,1,random,TINYIMAGENET,7,prelim_features_tinyimagenet_alexnet_RS_kp10,0.1,0.41065,False,0.1,alexnet,0.1,TINYIMAGENET_alexnet_RS_accuracy_kp1000_seed1024,1024,8000,7,42,accuracy,101024,0.41065,4,2.9827385850429535,10.851743429899216,10,2.9827385850429535,valid,0.4061644653405328,0.4202050023694508,0.41064999999999996,101024
RS,0.41725,1,1,random,TINYIMAGENET,8,prelim_features_tinyimagenet_alexnet_RS_kp10,0.1,0.4114,False,0.1,alexnet,0.1,TINYIMAGENET_alexnet_RS_accuracy_kp1000_seed1024,1024,8000,8,42,accuracy,101024,0.4114,4,2.9760949418067932,10.821231222711504,10,2.9760949418067932,valid,0.4105431451268424,0.4280046425805978,0.4114,101024
RS,0.41725,1,1,random,TINYIMAGENET,9,prelim_features_tinyimagenet_alexnet_RS_kp10,0.1,0.412,False,0.1,alexnet,0.1,TINYIMAGENET_alexnet_RS_accuracy_kp1000_seed1024,1024,8000,9,42,accuracy,101024,0.412,4,2.955308557319641,10.873141860589385,10,2.955308557319641,valid,0.4105337861487074,0.42505384386069145,0.41200000000000003,101024
RS,0.41725,1,1,random,TINYIMAGENET,10,prelim_features_tinyimagenet_alexnet_RS_kp10,0.1,0.41685,False,0.1,alexnet,0.1,TINYIMAGENET_alexnet_RS_accuracy_kp1000_seed1024,1024,8000,10,42,accuracy,101024,0.41685,5,2.9747341772079468,10.844822799786925,10,2.9747341772079468,valid,0.4134578837448396,0.42364157561481797,0.41685,101024
