Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Crossover Hamming Parent 1,Crossover Hamming Parent 2,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Generation,Improved Best,Initial Percentage,Model,Mutation Applied,Mutation Hamming Distance,Mutation Swaps,Offspring Number,Parent 1 Fitness,Parent 1 ID,Parent 1 Index,Parent 2 Fitness,Parent 2 ID,Parent 2 Index,Parent Hamming Distance,Population Slot,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
GEN,0.8127,1,1,initial,,,CIFAR10,1,main_b1000_cifar10_alexnet_GEN_kp50_seed42,0.5,0.8127,0,True,0.5,alexnet,False,0,0,,,,,,,,,1,0.5,CIFAR10_alexnet_GEN_accuracy_kp5000_seed42,42,20000,1,42,accuracy,100042,0.8127,4,0.5773920206069947,14.560141772031784,10,0.5773920206069947,valid,0.8125166391127999,0.8132941766309335,0.8127000000000001,100042
GEN,0.8127,1,1,initial,,,CIFAR10,2,main_b1000_cifar10_alexnet_GEN_kp50_seed42,0.5,0.7998,0,False,0.5,alexnet,False,0,0,,,,,,,,,2,0.5,CIFAR10_alexnet_GEN_accuracy_kp5000_seed42,42,20000,2,42,accuracy,100042,0.7998,3,0.5983292286872863,13.97322741150856,10,0.5983292286872863,valid,0.8001264183371637,0.8052839105142752,0.7998000000000001,100042
GEN,0.8127,1,1,initial,,,CIFAR10,3,main_b1000_cifar10_alexnet_GEN_kp50_seed42,0.5,0.8047,0,False,0.5,alexnet,False,0,0,,,,,,,,,3,0.5,CIFAR10_alexnet_GEN_accuracy_kp5000_seed42,42,20000,3,42,accuracy,100042,0.8047,3,0.5805819099426269,13.960489958524704,10,0.5805819099426269,valid,0.8038799276786527,0.8059299921421754,0.8047000000000001,100042
GEN,0.8127,1,1,initial,,,CIFAR10,4,main_b1000_cifar10_alexnet_GEN_kp50_seed42,0.5,0.8006,0,False,0.5,alexnet,False,0,0,,,,,,,,,4,0.5,CIFAR10_alexnet_GEN_accuracy_kp5000_seed42,42,20000,4,42,accuracy,100042,0.8006,2,0.5784631714820861,14.098374590277672,10,0.5784631714820861,valid,0.8012267069346513,0.8070094297309083,0.8006,100042
GEN,0.8127,1,1,initial,,,CIFAR10,5,main_b1000_cifar10_alexnet_GEN_kp50_seed42,0.5,0.7907,0,False,0.5,alexnet,False,0,0,,,,,,,,,5,0.5,CIFAR10_alexnet_GEN_accuracy_kp5000_seed42,42,20000,5,42,accuracy,100042,0.7907,2,0.6132059408664703,13.831851370632648,10,0.6132059408664703,valid,0.790136845030677,0.7969552329736536,0.7907,100042
GEN,0.8127,1,1,initial,,,CIFAR10,6,main_b1000_cifar10_alexnet_GEN_kp50_seed42,0.5,0.8024,0,False,0.5,alexnet,False,0,0,,,,,,,,,6,0.5,CIFAR10_alexnet_GEN_accuracy_kp5000_seed42,42,20000,6,42,accuracy,100042,0.8024,2,0.5786151110649109,13.896055996418,10,0.5786151110649109,valid,0.8032969379471583,0.8073341965909536,0.8024000000000001,100042
GEN,0.8127,1,1,initial,,,CIFAR10,7,main_b1000_cifar10_alexnet_GEN_kp50_seed42,0.5,0.8033,0,False,0.5,alexnet,False,0,0,,,,,,,,,7,0.5,CIFAR10_alexnet_GEN_accuracy_kp5000_seed42,42,20000,7,42,accuracy,100042,0.8033,3,0.5894970530986786,13.822944805026054,10,0.5894970530986786,valid,0.804040950837401,0.8080412017047742,0.8032999999999999,100042
GEN,0.8127,1,1,initial,,,CIFAR10,8,main_b1000_cifar10_alexnet_GEN_kp50_seed42,0.5,0.7996,0,False,0.5,alexnet,False,0,0,,,,,,,,,8,0.5,CIFAR10_alexnet_GEN_accuracy_kp5000_seed42,42,20000,8,42,accuracy,100042,0.7996,2,0.5927171502351761,13.994960844516754,10,0.5927171502351761,valid,0.7991387123902219,0.8101267181215086,0.7996000000000001,100042
GEN,0.8127,1,1,initial,,,CIFAR10,9,main_b1000_cifar10_alexnet_GEN_kp50_seed42,0.5,0.8093,0,False,0.5,alexnet,False,0,0,,,,,,,,,9,0.5,CIFAR10_alexnet_GEN_accuracy_kp5000_seed42,42,20000,9,42,accuracy,100042,0.8093,3,0.5766592766284943,13.784654699265957,10,0.5766592766284943,valid,0.8087015747537005,0.8099950573231898,0.8093,100042
GEN,0.8127,1,1,initial,,,CIFAR10,10,main_b1000_cifar10_alexnet_GEN_kp50_seed42,0.5,0.7903,0,False,0.5,alexnet,False,0,0,,,,,,,,,10,0.5,CIFAR10_alexnet_GEN_accuracy_kp5000_seed42,42,20000,10,42,accuracy,100042,0.7903,1,0.6039921405315399,13.985176354646683,10,0.6039921405315399,valid,0.7888376960129954,0.796183878778709,0.7903,100042
