Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Improved Best,Initial Percentage,Model,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
RS,0.8069,1,1,random,CIFAR10,1,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8069,True,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,1,42,accuracy,100123,0.8069,3,0.5926350264549255,24.301596507430077,10,0.5926350264549255,valid,0.8055906670278483,0.8100608664812142,0.8069,100123
RS,0.8069,1,1,random,CIFAR10,2,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8055,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,2,42,accuracy,100123,0.8055,2,0.5844154378414154,20.757184386253357,10,0.5844154378414154,valid,0.8061762674625257,0.8125679405790924,0.8055,100123
RS,0.8069,1,1,random,CIFAR10,3,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8057,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,3,42,accuracy,100123,0.8057,1,0.5639625070095062,20.59677680581808,10,0.5639625070095062,valid,0.8062907226590165,0.8132827340313658,0.8057000000000001,100123
RS,0.8096,4,4,random,CIFAR10,4,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8096,True,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,4,42,accuracy,100123,0.8096,3,0.5920474296092987,20.63787592947483,10,0.5920474296092987,valid,0.808077868747025,0.812554108266901,0.8096,100123
RS,0.8096,4,4,random,CIFAR10,5,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8052,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,5,42,accuracy,100123,0.8052,2,0.579694371843338,20.676629424095154,10,0.579694371843338,valid,0.8043944499204247,0.8080437176163617,0.8051999999999999,100123
RS,0.8096,4,4,random,CIFAR10,6,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8059,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,6,42,accuracy,100123,0.8059,2,0.5855367615699768,20.499537400901318,10,0.5855367615699768,valid,0.8072127578752676,0.815103304190378,0.8059000000000001,100123
RS,0.8096,4,4,random,CIFAR10,7,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8084,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,7,42,accuracy,100123,0.8084,2,0.5791665703296661,23.995715737342834,10,0.5791665703296661,valid,0.8084343078557319,0.8145531768294122,0.8084,100123
RS,0.811,8,8,random,CIFAR10,8,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.811,True,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,8,42,accuracy,100123,0.811,2,0.5690216485977173,21.00896593183279,10,0.5690216485977173,valid,0.8105403894880382,0.8128062394399107,0.8109999999999999,100123
RS,0.812,9,9,random,CIFAR10,9,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.812,True,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,9,42,accuracy,100123,0.812,2,0.5848445521831512,20.47413093596697,10,0.5848445521831512,valid,0.8114038797071013,0.816897487357199,0.812,100123
RS,0.812,9,9,random,CIFAR10,10,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8115,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,10,42,accuracy,100123,0.8115,3,0.5828369908809662,20.601414054632187,10,0.5828369908809662,valid,0.8110789621760496,0.8147179231023142,0.8115,100123
RS,0.812,9,9,random,CIFAR10,11,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8119,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,11,42,accuracy,100123,0.8119,2,0.5674336791515351,20.52649138867855,10,0.5674336791515351,valid,0.8127957261551616,0.8183792421102011,0.8119,100123
RS,0.812,9,9,random,CIFAR10,12,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8093,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,12,42,accuracy,100123,0.8093,3,0.584796714425087,20.58541877567768,10,0.584796714425087,valid,0.8104945854440917,0.8188151693422652,0.8093,100123
RS,0.814,13,13,random,CIFAR10,13,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.814,True,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,13,42,accuracy,100123,0.814,2,0.5548368224620819,20.79265733808279,10,0.5548368224620819,valid,0.8124770388866269,0.8136680228819749,0.8140000000000001,100123
RS,0.814,13,13,random,CIFAR10,14,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8045,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,14,42,accuracy,100123,0.8045,2,0.5801461548805237,20.702201068401337,10,0.5801461548805237,valid,0.8044591966717439,0.8114625045294271,0.8045,100123
RS,0.814,13,13,random,CIFAR10,15,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8103,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,15,42,accuracy,100123,0.8103,3,0.5794742513179779,20.336939051747322,10,0.5794742513179779,valid,0.811560475088678,0.8164650515850003,0.8103000000000001,100123
RS,0.814,13,13,random,CIFAR10,16,main_b1000_cifar10_alexnet_RS_kp75_seed123,0.75,0.8025,False,0.75,alexnet,0.75,CIFAR10_alexnet_RS_accuracy_kp7500_seed123,123,30000,16,42,accuracy,100123,0.8025,1,0.5818211959838867,22.310413993895054,10,0.5818211959838867,valid,0.8030136230409676,0.810323668504638,0.8025,100123
