Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Improved Best,Initial Percentage,Model,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
RS,0.4569,1,1,random,TINYIMAGENET,1,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.4569,True,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,1,42,accuracy,100789,0.4569,1,2.84015238366127,43.13309723138809,10,2.84015238366127,valid,0.4542383359785371,0.5108467477908921,0.45690000000000003,100789
RS,0.4569,1,1,random,TINYIMAGENET,2,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.4421,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,2,42,accuracy,100789,0.4421,1,2.9606410525321962,41.85642486810684,10,2.9606410525321962,valid,0.437547085181412,0.5105202818233707,0.4421,100789
RS,0.4569,1,1,random,TINYIMAGENET,3,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.4488,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,3,42,accuracy,100789,0.4488,1,2.9053848855733873,41.73732218146324,10,2.9053848855733873,valid,0.4450747702450785,0.5149920136240528,0.44880000000000003,100789
RS,0.4569,1,1,random,TINYIMAGENET,4,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.44595,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,4,42,accuracy,100789,0.44595,1,2.90524475941658,41.46344135701656,10,2.90524475941658,valid,0.44196797261701404,0.5122256302611946,0.44595,100789
RS,0.4569,1,1,random,TINYIMAGENET,5,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.45575,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,5,42,accuracy,100789,0.45575,1,2.8366630331516265,41.28918254375458,10,2.8366630331516265,valid,0.45141460800147276,0.5007858357201872,0.45575000000000004,100789
RS,0.4569,1,1,random,TINYIMAGENET,6,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.45045,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,6,42,accuracy,100789,0.45045,1,2.8579771406173706,41.28211245685816,10,2.8579771406173706,valid,0.4483391621476093,0.502634356830554,0.45045,100789
RS,0.4569,1,1,random,TINYIMAGENET,7,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.44625,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,7,42,accuracy,100789,0.44625,1,2.8999871349811555,41.47191855311394,10,2.8999871349811555,valid,0.4430059347480483,0.5055463220132249,0.44625,100789
RS,0.4569,1,1,random,TINYIMAGENET,8,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.44735,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,8,42,accuracy,100789,0.44735,1,2.9242633342266084,41.423611149191856,10,2.9242633342266084,valid,0.4447797534178193,0.5116323614974987,0.44734999999999997,100789
RS,0.4569,1,1,random,TINYIMAGENET,9,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.444,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,9,42,accuracy,100789,0.444,1,2.9407030039072035,41.25342072546482,10,2.9407030039072035,valid,0.44207104261559105,0.5137979564991876,0.444,100789
RS,0.4569,1,1,random,TINYIMAGENET,10,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.4511,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,10,42,accuracy,100789,0.4511,1,2.8736327268600466,41.212799958884716,10,2.8736327268600466,valid,0.44718771824682085,0.511380500576973,0.4511,100789
RS,0.4569,1,1,random,TINYIMAGENET,11,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.45325,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,11,42,accuracy,100789,0.45325,1,2.851619272851944,41.476256772875786,10,2.851619272851944,valid,0.44546787683125827,0.5025554434470498,0.45325000000000004,100789
RS,0.4569,1,1,random,TINYIMAGENET,12,main_b1000_tinyimagenet_alexnet_RS_kp75_seed789,0.75,0.4458,False,0.75,alexnet,0.75,TINYIMAGENET_alexnet_RS_accuracy_kp7500_seed789,789,60000,12,42,accuracy,100789,0.4458,1,2.904523403429985,41.374171525239944,10,2.904523403429985,valid,0.4425213850742115,0.5085699243212167,0.4458,100789
