experiment_name,configuration_fingerprint,run_id,algorithm,dataset,model,target_metric,metric_averaging,keep_percentage,selected_instances,selected_percentage,total_instances,search_seed,training_seed,split_seed,max_evaluations,evaluations_done,generated_subsets,uses_validation_for_selection,selection_strategy,best_fitness,search_duration_seconds,population_size,tournament_size,mutation_probability,mutation_fraction,local_search_num_swaps,memetic_local_search_probability,memetic_local_search_steps,memetic_local_search_num_swaps,batch_size,num_epochs,learning_rate,weight_decay,validation_fraction,pretrained,freeze_backbone,deterministic_algorithms,device,status,error
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp1000_seed1024,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.1,8000,0.1,80000,1024,101024,42,0,0,1,False,global_k_center_greedy,,11.2142483741045,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp2500_seed1024,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.25,20000,0.25,80000,1024,101024,42,0,0,1,False,global_k_center_greedy,,2.7754779309034348,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp5000_seed1024,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.5,40000,0.5,80000,1024,101024,42,0,0,1,False,global_k_center_greedy,,2.675624430179596,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp7500_seed1024,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.75,60000,0.75,80000,1024,101024,42,0,0,1,False,global_k_center_greedy,,2.774656228721142,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp9000_seed1024,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.9,72000,0.9,80000,1024,101024,42,0,0,1,False,global_k_center_greedy,,2.7579497545957565,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp1000_seed123,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.1,8000,0.1,80000,123,100123,42,0,0,1,False,global_k_center_greedy,,13.375006705522537,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp2500_seed123,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.25,20000,0.25,80000,123,100123,42,0,0,1,False,global_k_center_greedy,,2.679382339119911,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp5000_seed123,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.5,40000,0.5,80000,123,100123,42,0,0,1,False,global_k_center_greedy,,2.7207799777388573,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp7500_seed123,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.75,60000,0.75,80000,123,100123,42,0,0,1,False,global_k_center_greedy,,2.788445360958576,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp9000_seed123,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.9,72000,0.9,80000,123,100123,42,0,0,1,False,global_k_center_greedy,,2.9441612511873245,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp1000_seed42,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.1,8000,0.1,80000,42,100042,42,0,0,1,False,global_k_center_greedy,,1504.1075608804822,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp2500_seed42,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.25,20000,0.25,80000,42,100042,42,0,0,1,False,global_k_center_greedy,,2.63234531134367,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp5000_seed42,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.5,40000,0.5,80000,42,100042,42,0,0,1,False,global_k_center_greedy,,2.6887823343276978,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp7500_seed42,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.75,60000,0.75,80000,42,100042,42,0,0,1,False,global_k_center_greedy,,2.583665192127228,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
main_global_kcg_tinyimagenet_alexnet_all,0d70a5b27f9d76d525ad332a0d6bffdff84c3f55f1689fce2d336ee2859e80a4,TINYIMAGENET_alexnet_KCG_accuracy_kp9000_seed42,KCG,TINYIMAGENET,alexnet,accuracy,macro,0.9,72000,0.9,80000,42,100042,42,0,0,1,False,global_k_center_greedy,,2.571665994822979,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
