Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Crossover Hamming Parent 1,Crossover Hamming Parent 2,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Generation,Improved Best,Initial Percentage,Local Current Solution ID After,Local Current Solution ID Before,Local Fitness After,Local Fitness Before,Local Search Accepted,Local Search Applied,Local Search Hamming Distance,Local Search Origin Evaluation,Local Search Origin Solution ID,Local Search Step,Model,Mutation Applied,Mutation Hamming Distance,Mutation Swaps,Offspring Number,Parent 1 Fitness,Parent 1 ID,Parent 1 Index,Parent 2 Fitness,Parent 2 ID,Parent 2 Index,Parent Hamming Distance,Population Slot,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
MEM,0.9705833333333334,1,1,initial,,,MNIST,1,prelim_features_mnist_alexnet_MEM_kp50,0.5,0.9705833333333334,0,True,0.5,,,,,,False,0,,,0,alexnet,False,0,0,,,,,,,,,1,0.5,MNIST_alexnet_MEM_accuracy_kp5000_seed456,456,24000,1,42,accuracy,100456,0.9705833333333334,10,0.09930745352602874,22.498149083927274,10,0.09930745352602874,valid,0.9700626230092361,0.9704749564782288,0.9699210261536259,100456
MEM,0.9705833333333334,1,1,initial,,,MNIST,2,prelim_features_mnist_alexnet_MEM_kp50,0.5,0.9694166666666667,0,False,0.5,,,,,,False,0,,,0,alexnet,False,0,0,,,,,,,,,2,0.5,MNIST_alexnet_MEM_accuracy_kp5000_seed456,456,24000,2,42,accuracy,100456,0.9694166666666667,9,0.09889348656711323,22.46047486178577,10,0.09889348656711323,valid,0.9689294076574058,0.9691740337149044,0.9689086173101407,100456
MEM,0.9708333333333333,3,3,initial,,,MNIST,3,prelim_features_mnist_alexnet_MEM_kp50,0.5,0.9708333333333333,0,True,0.5,,,,,,False,0,,,0,alexnet,False,0,0,,,,,,,,,3,0.5,MNIST_alexnet_MEM_accuracy_kp5000_seed456,456,24000,3,42,accuracy,100456,0.9708333333333333,8,0.09752030286937952,22.69786750525236,10,0.09752030286937952,valid,0.9704819757318589,0.9708182678910713,0.9703869514573379,100456
MEM,0.9719166666666667,4,4,initial,,,MNIST,4,prelim_features_mnist_alexnet_MEM_kp50,0.5,0.9719166666666667,0,True,0.5,,,,,,False,0,,,0,alexnet,False,0,0,,,,,,,,,4,0.5,MNIST_alexnet_MEM_accuracy_kp5000_seed456,456,24000,4,42,accuracy,100456,0.9719166666666667,10,0.09570708294631913,22.422906879335642,10,0.09570708294631913,valid,0.971464499122359,0.9719840660081841,0.9711522429800473,100456
MEM,0.9719166666666667,4,4,initial,,,MNIST,5,prelim_features_mnist_alexnet_MEM_kp50,0.5,0.9686666666666667,0,False,0.5,,,,,,False,0,,,0,alexnet,False,0,0,,,,,,,,,5,0.5,MNIST_alexnet_MEM_accuracy_kp5000_seed456,456,24000,5,42,accuracy,100456,0.9686666666666667,7,0.09809747807324554,22.545163055881858,10,0.09809747807324554,valid,0.9681357121016276,0.9682303425016819,0.9684529597905372,100456
MEM,0.9719166666666667,4,4,initial,,,MNIST,6,prelim_features_mnist_alexnet_MEM_kp50,0.5,0.9663333333333334,0,False,0.5,,,,,,False,0,,,0,alexnet,False,0,0,,,,,,,,,6,0.5,MNIST_alexnet_MEM_accuracy_kp5000_seed456,456,24000,6,42,accuracy,100456,0.9663333333333334,6,0.10730424580164254,22.425427053123713,10,0.10730424580164254,valid,0.9658278023438409,0.9659796035809141,0.9659543188452309,100456
MEM,0.9719166666666667,4,4,initial,,,MNIST,7,prelim_features_mnist_alexnet_MEM_kp50,0.5,0.9681666666666666,0,False,0.5,,,,,,False,0,,,0,alexnet,False,0,0,,,,,,,,,7,0.5,MNIST_alexnet_MEM_accuracy_kp5000_seed456,456,24000,7,42,accuracy,100456,0.9681666666666666,9,0.1052501495120426,22.559180468320847,10,0.1052501495120426,valid,0.967710432526872,0.9680383327281434,0.9676845249232295,100456
MEM,0.9719166666666667,4,4,initial,,,MNIST,8,prelim_features_mnist_alexnet_MEM_kp50,0.5,0.9696666666666667,0,False,0.5,,,,,,False,0,,,0,alexnet,False,0,0,,,,,,,,,8,0.5,MNIST_alexnet_MEM_accuracy_kp5000_seed456,456,24000,8,42,accuracy,100456,0.9696666666666667,6,0.10080749544066687,22.556138964369893,10,0.10080749544066687,valid,0.9691972258325471,0.969514414348648,0.9690703971540939,100456
MEM,0.9719166666666667,4,4,initial,,,MNIST,9,prelim_features_mnist_alexnet_MEM_kp50,0.5,0.9711666666666666,0,False,0.5,,,,,,False,0,,,0,alexnet,False,0,0,,,,,,,,,9,0.5,MNIST_alexnet_MEM_accuracy_kp5000_seed456,456,24000,9,42,accuracy,100456,0.9711666666666666,10,0.09872697366463641,22.4375143609941,10,0.09872697366463641,valid,0.970717720562274,0.9710148038381913,0.9706272866741875,100456
MEM,0.9719166666666667,4,4,initial,,,MNIST,10,prelim_features_mnist_alexnet_MEM_kp50,0.5,0.9695833333333334,0,False,0.5,,,,,,False,0,,,0,alexnet,False,0,0,,,,,,,,,10,0.5,MNIST_alexnet_MEM_accuracy_kp5000_seed456,456,24000,10,42,accuracy,100456,0.9695833333333334,8,0.09834617045459648,22.4400051869452,10,0.09834617045459648,valid,0.9690966701190284,0.9696902429750182,0.9688553619089827,100456
