Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Crossover Hamming Parent 1,Crossover Hamming Parent 2,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Generation,Improved Best,Initial Percentage,Model,Mutation Applied,Mutation Hamming Distance,Mutation Swaps,Offspring Number,Parent 1 Fitness,Parent 1 ID,Parent 1 Index,Parent 2 Fitness,Parent 2 ID,Parent 2 Index,Parent Hamming Distance,Population Slot,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
GEN,0.9588333333333333,1,1,initial,,,MNIST,1,prelim_features_mnist_efficientnetv2_GEN_kp25,0.25,0.9588333333333333,0,True,0.25,efficientnetv2,False,0,0,,,,,,,,,1,0.25,MNIST_efficientnetv2_GEN_accuracy_kp2500_seed456,456,12000,1,42,accuracy,100456,0.9588333333333333,10,0.14101144972940285,12.778920080512762,10,0.14101144972940285,valid,0.9579611470142961,0.958250346276788,0.957961193655642,100456
GEN,0.9588333333333333,1,1,initial,,,MNIST,2,prelim_features_mnist_efficientnetv2_GEN_kp25,0.25,0.9588333333333333,0,False,0.25,efficientnetv2,False,0,0,,,,,,,,,2,0.25,MNIST_efficientnetv2_GEN_accuracy_kp2500_seed456,456,12000,2,42,accuracy,100456,0.9588333333333333,10,0.1432747544099887,12.698384273797274,10,0.1432747544099887,valid,0.9582581313585681,0.9586879228299201,0.9581538630264268,100456
GEN,0.9591666666666666,3,3,initial,,,MNIST,3,prelim_features_mnist_efficientnetv2_GEN_kp25,0.25,0.9591666666666666,0,True,0.25,efficientnetv2,False,0,0,,,,,,,,,3,0.25,MNIST_efficientnetv2_GEN_accuracy_kp2500_seed456,456,12000,3,42,accuracy,100456,0.9591666666666666,10,0.13746805703391632,12.827236022800207,10,0.13746805703391632,valid,0.9584430258568348,0.9590821294153088,0.9582944525325491,100456
GEN,0.961,4,4,initial,,,MNIST,4,prelim_features_mnist_efficientnetv2_GEN_kp25,0.25,0.961,0,True,0.25,efficientnetv2,False,0,0,,,,,,,,,4,0.25,MNIST_efficientnetv2_GEN_accuracy_kp2500_seed456,456,12000,4,42,accuracy,100456,0.961,10,0.13443223289151987,12.810864029452205,10,0.13443223289151987,valid,0.9603052524960889,0.960314475849013,0.9605552411628759,100456
GEN,0.961,4,4,initial,,,MNIST,5,prelim_features_mnist_efficientnetv2_GEN_kp25,0.25,0.9580833333333333,0,False,0.25,efficientnetv2,False,0,0,,,,,,,,,5,0.25,MNIST_efficientnetv2_GEN_accuracy_kp2500_seed456,456,12000,5,42,accuracy,100456,0.9580833333333333,10,0.14033524528394142,12.76515426300466,10,0.14033524528394142,valid,0.9573134378663667,0.9575689471897283,0.9574213429673643,100456
GEN,0.961,4,4,initial,,,MNIST,6,prelim_features_mnist_efficientnetv2_GEN_kp25,0.25,0.9608333333333333,0,False,0.25,efficientnetv2,False,0,0,,,,,,,,,6,0.25,MNIST_efficientnetv2_GEN_accuracy_kp2500_seed456,456,12000,6,42,accuracy,100456,0.9608333333333333,10,0.13404529167711735,12.74536033347249,10,0.13404529167711735,valid,0.9601031364772237,0.9601005855117325,0.9603224790771632,100456
GEN,0.961,4,4,initial,,,MNIST,7,prelim_features_mnist_efficientnetv2_GEN_kp25,0.25,0.9589166666666666,0,False,0.25,efficientnetv2,False,0,0,,,,,,,,,7,0.25,MNIST_efficientnetv2_GEN_accuracy_kp2500_seed456,456,12000,7,42,accuracy,100456,0.9589166666666666,10,0.13953105860451856,12.786527052521706,10,0.13953105860451856,valid,0.9583176093442413,0.9584812882309068,0.9587099216995038,100456
GEN,0.961,4,4,initial,,,MNIST,8,prelim_features_mnist_efficientnetv2_GEN_kp25,0.25,0.9579166666666666,0,False,0.25,efficientnetv2,False,0,0,,,,,,,,,8,0.25,MNIST_efficientnetv2_GEN_accuracy_kp2500_seed456,456,12000,8,42,accuracy,100456,0.9579166666666666,10,0.14177989659955104,12.74875869229436,10,0.14177989659955104,valid,0.9571775974079146,0.9579956412028521,0.956839264408815,100456
GEN,0.961,4,4,initial,,,MNIST,9,prelim_features_mnist_efficientnetv2_GEN_kp25,0.25,0.9609166666666666,0,False,0.25,efficientnetv2,False,0,0,,,,,,,,,9,0.25,MNIST_efficientnetv2_GEN_accuracy_kp2500_seed456,456,12000,9,42,accuracy,100456,0.9609166666666666,10,0.13703101111700136,13.073978126049042,10,0.13703101111700136,valid,0.960173568532379,0.9605040749442759,0.9601573299061157,100456
GEN,0.961,4,4,initial,,,MNIST,10,prelim_features_mnist_efficientnetv2_GEN_kp25,0.25,0.9600833333333333,0,False,0.25,efficientnetv2,False,0,0,,,,,,,,,10,0.25,MNIST_efficientnetv2_GEN_accuracy_kp2500_seed456,456,12000,10,42,accuracy,100456,0.9600833333333333,9,0.1389370090862115,12.761179545894265,10,0.1389370090862115,valid,0.9594921941373566,0.9594519865209123,0.9597316733758209,100456
