Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Crossover Hamming Parent 1,Crossover Hamming Parent 2,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Generation,Improved Best,Initial Percentage,Local Current Solution ID After,Local Current Solution ID Before,Local Fitness After,Local Fitness Before,Local Search Accepted,Local Search Applied,Local Search Hamming Distance,Local Search Origin Evaluation,Local Search Origin Solution ID,Local Search Step,Model,Mutation Applied,Mutation Hamming Distance,Mutation Swaps,Offspring Number,Parent 1 Fitness,Parent 1 ID,Parent 1 Index,Parent 2 Fitness,Parent 2 ID,Parent 2 Index,Parent Hamming Distance,Population Slot,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
MEM,0.97125,1,1,initial,,,MNIST,1,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.97125,0,True,0.75,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,1,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,1,42,accuracy,100123,0.97125,9,0.09213973775754372,29.20489828661084,10,0.09213973775754372,valid,0.9708000054866401,0.9707153564699735,0.9709509918993436,100123
MEM,0.9719166666666667,2,2,initial,,,MNIST,2,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9719166666666667,0,True,0.75,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,2,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,2,42,accuracy,100123,0.9719166666666667,10,0.09028959319802622,29.26391775533557,10,0.09028959319802622,valid,0.9714359435142971,0.9715167536500182,0.9714590227185577,100123
MEM,0.9724166666666667,3,3,initial,,,MNIST,3,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9724166666666667,0,True,0.75,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,3,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,3,42,accuracy,100123,0.9724166666666667,10,0.09100057748456795,29.11949976347387,10,0.09100057748456795,valid,0.9719178531936571,0.9719767114888432,0.9720943226450837,100123
MEM,0.9724166666666667,3,3,initial,,,MNIST,4,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9710833333333333,0,False,0.75,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,4,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,4,42,accuracy,100123,0.9710833333333333,9,0.09380750697602828,29.227687310427427,10,0.09380750697602828,valid,0.9706477980722653,0.9706316105557473,0.9708353902297338,100123
MEM,0.9725833333333334,5,5,initial,,,MNIST,5,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9725833333333334,0,True,0.75,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,5,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,5,42,accuracy,100123,0.9725833333333334,10,0.09188905470942457,29.23006602935493,10,0.09188905470942457,valid,0.9721780199170549,0.9721430077649684,0.9723037879065155,100123
MEM,0.9725833333333334,5,5,initial,,,MNIST,6,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9723333333333334,0,False,0.75,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,6,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,6,42,accuracy,100123,0.9723333333333334,10,0.09091580215965708,29.256179593503475,10,0.09091580215965708,valid,0.9719006834218578,0.9720733633163323,0.9718420598302513,100123
MEM,0.9725833333333334,5,5,initial,,,MNIST,7,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.971,0,False,0.75,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,7,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,7,42,accuracy,100123,0.971,10,0.0930856708586216,29.245123479515314,10,0.0930856708586216,valid,0.9705761131265584,0.9705358508632148,0.9707576101829186,100123
MEM,0.9729166666666667,8,8,initial,,,MNIST,8,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9729166666666667,0,True,0.75,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,8,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,8,42,accuracy,100123,0.9729166666666667,10,0.09160600894130766,29.43228566274047,10,0.09160600894130766,valid,0.9724624838614158,0.9724745990518697,0.9725816441828649,100123
MEM,0.9729166666666667,8,8,initial,,,MNIST,9,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9718333333333333,0,False,0.75,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,9,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,9,42,accuracy,100123,0.9718333333333333,10,0.09052355477027595,29.24070435203612,10,0.09052355477027595,valid,0.9713160607926161,0.9714436345185454,0.9712985224857109,100123
MEM,0.9729166666666667,8,8,initial,,,MNIST,10,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9704166666666667,0,False,0.75,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,10,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,10,42,accuracy,100123,0.9704166666666667,10,0.09450437545093397,29.318364404141903,10,0.09450437545093397,valid,0.9699472184438813,0.9704219811532807,0.9697317655371513,100123
